Survey.series,Deployment.date,Recovery.date,Sampling.Note,Sampled.Fish.Number,Cage.Number,Fish.Length.mm,Fish.Weight.g,Fish.Species,HEAD_OPER,MOUTH_GILLS,ANT.DORS,POST.DORS,ANT.VENT,POST.VENT,DORSAL,PECTORAL,PELVIC,ANAL,ADIPOSE,CAUDAL,BAG,BIN,TOTAL
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,1,8,186,57.62,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,2,8,179,60.73,Salmon,0,0,0,0,1,1,0,0,1,0,0,0,0,0,3
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,3,8,200,96.84,Salmon,0,0,0,0,4,1,0,0,0,0,0,0,0,0,5
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,4,8,192,80.71,Salmon,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,5,8,167,54.31,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,6,8,196,82.17,Salmon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,7,8,195,91.17,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,8,8,193,83.66,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,9,8,192,126.5,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,10,8,168,60.73,Salmon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,11,8,200,90.31,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,12,8,185,84.55,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,13,8,164,57.07,Salmon,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,14,8,179,71.74,Salmon,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,15,8,183,68.09,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,16,8,189,90.89,Salmon,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,17,8,179,74.64,Salmon,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,18,8,174,73.34,Salmon,0,0,0,0,1,0,0,1,1,0,0,0,0,0,3
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,19,8,183,69.02,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,20,8,184,70.22,Salmon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,21,8,174,81.21,Salmon,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,22,8,179,65.49,Salmon,0,0,0,0,0,1,0,0,1,1,0,0,0,0,3
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,23,8,174,69.21,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,24,8,195,91.46,Salmon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,25,8,182,65.82,Salmon,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,26,8,181,65.01,Salmon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,27,8,174,64.07,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,28,8,181,64.17,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,29,8,184,77.9,Salmon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,30,8,194,84.17,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,31,8,198,88.98,Salmon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,32,8,179,63.33,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
