Survey.series,Deployment.date,Recovery.date,Sampling.Note,Sampled.Fish.Number,Cage.Number,Fish.Length.mm,Fish.Weight.g,Fish.Species,HEAD_OPER,MOUTH_GILLS,ANT.DORS,POST.DORS,ANT.VENT,POST.VENT,DORSAL,PECTORAL,PELVIC,ANAL,ADIPOSE,CAUDAL,BAG,BIN,TOTAL
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,1,9,200,84,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,2,9,172,56.05,Salmon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,3,9,174,55.9,Salmon,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,4,9,189,87.2,Salmon,0,0,0,0,2,2,0,3,0,0,0,0,0,0,7
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,5,9,199,89.01,Salmon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,6,9,195,84.8,Salmon,0,0,0,0,0,2,0,0,1,0,0,0,1,0,4
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,7,9,190,97.75,Salmon,0,0,0,0,1,1,0,0,5,0,0,0,0,0,7
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,8,9,175,68.1,Salmon,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,9,9,181,74.06,Salmon,0,0,0,0,1,3,0,0,2,0,0,0,0,0,6
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,10,9,210,90.9,Salmon,0,0,0,0,0,8,0,0,3,0,0,0,0,0,11
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,11,9,179,78.6,Salmon,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,12,9,186,58.4,Salmon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,13,9,184,91.44,Salmon,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,14,9,184,76.7,Salmon,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,15,9,176,63.1,Salmon,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,16,9,172,60.5,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,17,9,194,86.4,Salmon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,18,9,204,87.1,Salmon,0,0,0,0,0,0,0,0,2,0,0,0,1,0,3
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,19,9,186,77.1,Salmon,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,20,9,200,82.8,Salmon,0,0,0,0,1,1,0,0,0,1,0,0,0,0,3
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,21,9,190,98.8,Salmon,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
