Survey.series,Deployment.date,Recovery.date,Sampling.Note,Sampled.Fish.Number,Cage.Number,Fish.Length.mm,Fish.Weight.g,Fish.Species,HEAD_OPER,MOUTH_GILLS,ANT.DORS,POST.DORS,ANT.VENT,POST.VENT,DORSAL,PECTORAL,PELVIC,ANAL,ADIPOSE,CAUDAL,BAG,BIN,TOTAL
Loch Linnhe Sea Lice Settlement Experiment,12/05/2011,27/05/2011,100% mortality due to severe weather causing fouling.,,10,,,,,,,,,,,,,,,,,,
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,1,10,200,93.89,Salmon,1,0,0,0,1,5,0,0,2,1,0,0,0,0,10
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,2,10,180,72.92,Salmon,0,0,0,0,1,3,0,1,1,0,0,0,0,0,6
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,3,10,195,81.35,Salmon,0,0,0,0,1,1,0,0,2,0,0,0,0,0,4
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,4,10,176,59.56,Salmon,0,0,0,0,1,0,0,2,2,0,0,0,0,0,5
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,5,10,182,65.98,Salmon,0,0,0,0,0,2,0,0,1,0,0,0,3,0,6
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,6,10,195,85.06,Salmon,0,0,0,0,2,6,0,0,1,0,0,0,0,0,9
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,7,10,200,83.49,Salmon,0,0,0,0,2,3,1,2,4,2,0,0,0,0,14
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,8,10,180,66.28,Salmon,0,0,0,0,0,2,0,0,3,0,0,0,0,0,5
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,9,10,174,64.99,Salmon,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,10,10,198,83.63,Salmon,0,0,0,0,1,9,0,1,2,1,0,0,0,0,14
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,11,10,177,69.3,Salmon,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,12,10,170,58.41,Salmon,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5
Loch Linnhe Sea Lice Settlement Experiment,26/10/2011,01/11/2011,,13,10,177,62.6,Salmon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
